module	trait	nObs	bicor	Z	t	p
firebrick3	ppaq_house_mth6	42	0.116164053776934	0.738017639784653	0.73969368088491	0.463805209655085
firebrick3	epds_base	43	0.0690548614745101	0.442871710118223	0.443224895393101	0.659933089073721
firebrick3	epds_3a_base	43	0.189186011278086	1.22615238267539	1.23365986754265	0.224355250294147
firebrick3	epds_mth3	41	-0.0558397885219057	-0.349082492336743	0.349264310051887	0.728769736991239
firebrick3	epds_3a_mth3	41	-0.041237156340521	-0.257672082486043	0.257745200302363	0.797958768865192
firebrick3	epds_mth6	42	-0.121927913388844	-0.774995647353867	0.776936589538081	0.441766787632356
firebrick3	epds_3a_mth6	42	-0.0810804125742453	-0.513925724117593	0.514491485380852	0.609739594799238
firebrick3	sleep_base	43	-0.0969975879750479	-0.623046517659242	0.624030147972009	0.536064700363227
firebrick3	sleep_wk36	41	0.0035509240080718	0.022175606527714	0.0221756531303989	0.982420911966164
firebrick3	sleep_mth6	42	0.127423634786722	0.810302548018427	0.812521187856184	0.421302289936614
firebrick3	rhodes_base	43	0.0122380602358092	0.078365732553016	0.0783676889038438	0.937916804995883
firebrick3	rhodes_wk26	41	-0.171102007009114	-1.07914618170807	1.08452483270988	0.284791169026017
firebrick3	rhodes_wk36	41	-0.0121264124173569	-0.0757331336024138	0.0757349898893871	0.940017112377059
firebrick3	covid_essential_base	43	0.00721304183674041	0.0461868040234869	0.0461872045393829	0.963385280335039
firebrick3	covid_test_yes_base	35	0.170086102217557	0.9866592499741	0.991517467368138	0.328647909986242
firebrick3	covid_schedule_base	43	0.0674361664574679	0.432458503514395	0.432787353075749	0.66743743292803
firebrick3	covid_mask_base	43	-0.159542912168165	-1.03037560630695	1.03482820825898	0.306814510537572
firebrick3	covid_visit_base	43	0.126025882349955	0.81127274494764	0.813445016552985	0.420661963563155
firebrick3	covid_wipe_base	43	-0.187652102914465	-1.21596904846935	1.22329080894927	0.228204378615941
firebrick3	covid_essential_wk36	41	-0.0682852976222223	-0.427106223067353	0.427439260775275	0.671410300684339
firebrick3	covid_test_yes_wk36	34	0.158559747642171	0.90458164050055	0.908441729569665	0.370436148285988
firebrick3	covid_schedule_wk36	41	0.0623559196453766	0.389918486689127	0.390171877156837	0.698532393099412
firebrick3	covid_mask_wk36	41	-0.0642202718474774	-0.401608187630116	0.401885061276719	0.689962625979645
firebrick3	covid_visit_wk36	41	0.0694143687767398	0.434190854208005	0.434540743879252	0.666290735421563
firebrick3	covid_wipe_wk36	41	0.0274857667672386	0.171691803011403	0.17171343264884	0.86455073771695
firebrick3	covid_essential_mth6	42	-0.0104713739483058	-0.0662292045569707	0.066230414987187	0.947524311270923
firebrick3	covid_test_yes_mth6	30	-0.0771789104761088	-0.409206192160376	0.40961417995376	0.685205867443591
firebrick3	covid_schedule_mth6	42	0.0563530112852583	0.356785734659851	0.356975004017435	0.722986952652287
